変数情報
変数	位置	ラベル
JE_7L	102	問4B(7)-12_初職・入職経路―前の従業先の紹介
JE_7M	103	問4B(7)-13_初職・入職経路―その他
JE81A	104	問4B(8-1)_初職・勤め始めた時期―元号
JE81Y	105	問4B(8-1)_初職・勤め始めた時期―年
JE81M	106	問4B(8-1)_初職・勤め始めた時期―月
JE82A	107	問4B(8-2)_初職・勤めをやめた時期―元号
JE82Y	108	問4B(8-2)_初職・勤めをやめた時期―年
JE82M	109	問4B(8-2)_初職・勤めをやめた時期―月
ZQ05_1	110	問5(1)_通勤時間
ZQ05_2	111	問5(2)_週あたりの所定労働時間
ZQ05_3	112	問5(3)_雇用契約期間
ZQ05_3S	113	問5(3付問)_雇用契約の更新
ZQ05_4	114	問5(4)_現在就いている仕事に新人を配属した場合の養成期間
ZQ05_5Y	115	問5(5)_現在の会社での仕事や事業の継続
ZQ05_5N	116	問5(5)_直近の会社での仕事や事業の継続
ZQ06_A	117	問6-1_ほぼ毎日残業
ZQ06_B	118	問6-2_社員数が恒常的に不足
ZQ06_C	119	問6-3_いつも締め切りに追われている
ZQ06_D	120	問6-4_互いに助け合う雰囲気
ZQ06_E	121	問6-5_一人ひとりが行う仕事が多い
ZQ06_F	122	問6-6_連携しながら行う仕事が多い
ZQ06_G	123	問6-7_先輩が後輩を指導する雰囲気
ZQ06_H	124	問6-8_社員の希望で移動できる仕組み
ZQ06_I	125	問6-9_若手社員の相談相手を決めている
ZQ06_J	126	問6-10_将来の仕事について相談できる機会
ZQ06_K	127	問6-11_いずれもあてはまらない
ZQ07A	128	問7A_自分の仕事のペースを自分で決められる
ZQ07B	129	問7B_職場の仕事のやり方を自分で決められる
ZQ07C	130	問7C_部下の仕事のやり方を自分が決めている
ZQ07D	131	問7D_教育訓練を受ける機会がある
ZQ07E	132	問7E_職業能力を高める機会がある
ZQ07F	133	問7F_自分の生活の必要にあわせて仕事を調整しやすい
ZQ07G	134	問7G_今後1年間に失業（倒産）をする可能性がある
ZQ08A	135	問8A_ふだんの生活での頻度―運動
ZQ08B	136	問8B_ふだんの生活での頻度―1日に3食を食べる
ZQ08C	137	問8C_ふだんの生活での頻度―栄養バランスの取れた食事を取る
ZQ08D	138	問8D_ふだんの生活での頻度―カップ麺やファーストフードを食べる
ZQ08E	139	問8E_ふだんの生活での頻度―食事の用意
ZQ08F	140	問8F_ふだんの生活での頻度―洗濯
ZQ08G	141	問8G_ふだんの生活での頻度―家の掃除
ZQ08H	142	問8H_ふだんの生活での頻度―日用品・食料品の買い物
ZQ08I	143	問8I_ふだんの生活での頻度―友人・恋人（配偶者は除く）と食事をする
ZQ08J	144	問8J_ふだんの生活での頻度―友人・恋人（配偶者は除く）と話をする
ZQ08K	145	問8K_ふだんの生活での頻度―インターネットを利用する（仕事以外で）
ZQ09A_A	146	問9A_自分の仕事や勉強のことを相談する人―親
ZQ09A_B	147	問9A_自分の仕事や勉強のことを相談する人―配偶者または恋人
ZQ09A_C	148	問9A_自分の仕事や勉強のことを相談する人―子ども
ZQ09A_D	149	問9A_自分の仕事や勉強のことを相談する人―兄弟姉妹
ZQ09A_E	150	問9A_自分の仕事や勉強のことを相談する人―その他の親戚
ZQ09A_F	151	問9A_自分の仕事や勉強のことを相談する人―仕事関係の友人・知人
ZQ09A_G	152	問9A_自分の仕事や勉強のことを相談する人―学生時代の友人・知人
ZQ09A_H	153	問9A_自分の仕事や勉強のことを相談する人―その他の友人・知人
ZQ09A_I	154	問9A_自分の仕事や勉強のことを相談する人―誰もいない
ZQ09B_A	155	問9B_仕事を紹介してもらうことを相談する人―親
ZQ09B_B	156	問9B_仕事を紹介してもらうことを相談する人―配偶者または恋人
ZQ09B_C	157	問9B_仕事を紹介してもらうことを相談する人―子ども
ZQ09B_D	158	問9B_仕事を紹介してもらうことを相談する人―兄弟姉妹
ZQ09B_E	159	問9B_仕事を紹介してもらうことを相談する人―その他の親戚
ZQ09B_F	160	問9B_仕事を紹介してもらうことを相談する人―仕事関係の友人・知人
ZQ09B_G	161	問9B_仕事を紹介してもらうことを相談する人―学生時代の友人・知人
ZQ09B_H	162	問9B_仕事を紹介してもらうことを相談する人―その他の友人・知人
ZQ09B_I	163	問9B_仕事を紹介してもらうことを相談する人―誰もいない
ZQ09C_A	164	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―親
ZQ09C_B	165	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―配偶者または恋人
ZQ09C_C	166	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―子ども
ZQ09C_D	167	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―兄弟姉妹
ZQ09C_E	168	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の親戚
ZQ09C_F	169	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―仕事関係の友人・知人
ZQ09C_G	170	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―学生時代の友人・知人
ZQ09C_H	171	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の友人・知人
ZQ09C_I	172	問9C_友人・恋人・配偶者などとの人間関係のことを相談する人―誰もいない
ZQ09D_A	173	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―親
ZQ09D_B	174	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―配偶者または恋人
ZQ09D_C	175	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―子ども
ZQ09D_D	176	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―兄弟姉妹
ZQ09D_E	177	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の親戚
ZQ09D_F	178	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―仕事関係の友人・知人
ZQ09D_G	179	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―学生時代の友人・知人
ZQ09D_H	180	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の友人・知人
ZQ09D_I	181	問9D_失業や病気のときにまとまったお金を貸してもらう相談をする人―誰もいない
ZQ10A	182	問10A_正規の社員・職員の仕事に就く経験
ZQ10AS	183	問10A付問_上記について今後経験したいか
ZQ10AY	184	問10A付問_何歳までに経験したいか
ZQ10B	185	問10B_親とちがうところに住む経験
ZQ10BS	186	問10B付問_上記について今後経験したいか
ZQ10BY	187	問10B付問_何歳までに経験したいか
ZQ10C	188	問10C_結婚の経験
ZQ10CS	189	問10C付問_上記について今後経験したいか
ZQ10CY	190	問10C付問_何歳までに経験したいか
ZQ10D	191	問10D_子どもを持つ経験
ZQ10DS	192	問10D付問_上記について今後経験したいか
ZQ10DY	193	問10D付問_何歳までに経験したいか
ZQ11_A	194	問11-1_今までの経験―親が失業した／親が事業で失敗した
ZQ11_B	195	問11-2_今までの経験―親が離婚した
ZQ11_C	196	問11-3_今までの経験―親が再婚した
ZQ11_D	197	問11-4_今までの経験―自分が事業で失敗した
ZQ11_E	198	問11-5_今までの経験―自分が失業した
ZQ11_F	199	問11-6_今までの経験―自分が転職した
ZQ11_G	200	問11-7_今までの経験―自分が同棲した
ZQ11_H	201	問11-8_今までの経験―自分が離婚した
ZQ11_I	202	問11-9_今までの経験―自分が再婚した
ZQ11_J	203	問11-10_今までの経験―自分が学校でいじめを受けた
ZQ11_K	204	問11-11_今までの経験―自分が大きな事故や災害にあった
ZQ11_L	205	問11-12_今までの経験―自分が暴行・強盗・恐喝などの犯罪被害にあった
ZQ11_M	206	問11-13_今までの経験―自分が手術や長期療養を要する病気・ケガをした
ZQ11_N	207	問11-14_今までの経験―自分が家族の看病・介護をした
ZQ11_O	208	問11-15_今までの経験―その他大きな出来事
ZQ12	209	問12_現在の暮らしむき
ZQ13_1	210	問13(1)_同居している人数（本人含む）
ZQ13_2A	211	問13(2)-0_同居人―自分自身
ZQ13_2B	212	問13(2)-1_同居人―配偶者（夫または妻）
ZQ13_2C	213	問13(2)-2_同居人―恋人
ZQ13_2D	214	問13(2)-3_同居人―息子
ZQ13_2E	215	問13(2)-4_同居人―娘
ZQ13_2F	216	問13(2)-5_同居人―子どもの配偶者
ZQ13_2G	217	問13(2)-6_同居人―孫
ZQ13_2H	218	問13(2)-7_同居人―父親
ZQ13_2I	219	問13(2)-8_同居人―母親
ZQ13_2J	220	問13(2)-9_同居人―配偶者の父親
ZQ13_2K	221	問13(2)-10_同居人―配偶者の母親
ZQ13_2L	222	問13(2)-11_同居人―祖父
ZQ13_2M	223	問13(2)-12_同居人―祖母
ZQ13_2N	224	問13(2)-13_同居人―配偶者の祖父
ZQ13_2O	225	問13(2)-14_同居人―配偶者の祖母
ZQ13_2P	226	問13(2)-15_同居人―兄弟姉妹
ZQ13_2Q	227	問13(2)-16_同居人―配偶者の兄弟姉妹
ZQ13_2R	228	問13(2)-17_同居人―その他
ZQ14_1A	229	問14(1)_兄の人数
ZQ14_1B	230	問14(1)_姉の人数
ZQ14_1C	231	問14(1)_弟の人数
ZQ14_1D	232	問14(1)_妹の人数
ZQ14FA	233	問14(2)父A_父親の状況
ZQ14FA1	234	問14(2)父A_現在の年齢
ZQ14FA2	235	問14(2)父A_享年
ZQ14FB	236	問14(2)父B_現在働いているか
ZQ14FC	237	問14(2)父C_今の暮らしむき
ZQ14MA	238	問14(2)母A_母親の状況
ZQ14MA1	239	問14(2)母A_現在の年齢
ZQ14MA2	240	問14(2)母A_享年
ZQ14MB	241	問14(2)母B_現在働いているか
ZQ14MC	242	問14(2)母C_今の暮らしむき
ZQ14_3	243	問14(3)_現在子どもがいるか
ZQ14_31	244	問14(3-1)_子どもの人数
ZQ14C1A	245	問14(3-1)_1人目＿元号
ZQ14C1Y	246	問14(3-1)_1人目＿生年
ZQ14C1B	247	問14(3-1)_1人目＿性別
ZQ14C1C	248	問14(3-1)_1人目＿婚姻状態
ZQ14C1D	249	問14(3-1)_1人目＿同居・別居
ZQ14C2A	250	問14(3-1)_2人目＿元号
ZQ14C2Y	251	問14(3-1)_2人目＿生年
ZQ14C2B	252	問14(3-1)_2人目＿性別
ZQ14C2C	253	問14(3-1)_2人目＿婚姻状態
ZQ14C2D	254	問14(3-1)_2人目＿同居・別居
ZQ14C3A	255	問14(3-1)_3人目＿元号
ZQ14C3Y	256	問14(3-1)_3人目＿生年
ZQ14C3B	257	問14(3-1)_3人目＿性別
ZQ14C3C	258	問14(3-1)_3人目＿婚姻状態
ZQ14C3D	259	問14(3-1)_3人目＿同居・別居
ZQ14C4A	260	問14(3-1)_4人目＿元号
ZQ14C4Y	261	問14(3-1)_4人目＿生年
ZQ14C4B	262	問14(3-1)_4人目＿性別
ZQ14C4C	263	問14(3-1)_4人目＿婚姻状態
ZQ14C4D	264	問14(3-1)_4人目＿同居・別居
ZQ14C5A	265	問14(3-1)_5人目＿元号
ZQ14C5Y	266	問14(3-1)_5人目＿生年
ZQ14C5B	267	問14(3-1)_5人目＿性別
ZQ14C5C	268	問14(3-1)_5人目＿婚姻状態
ZQ14C5D	269	問14(3-1)_5人目＿同居・別居
ZQ14C6A	270	問14(3-1)_6人目＿元号
ZQ14C6Y	271	問14(3-1)_6人目＿生年
ZQ14C6B	272	問14(3-1)_6人目＿性別
ZQ14C6C	273	問14(3-1)_6人目＿婚姻状態
ZQ14C6D	274	問14(3-1)_6人目＿同居・別居
ZQ14_32	275	問14(3-2)_もう1人子どもが欲しいか
ZQ14_33A	276	問14(3-3)-1_日常的な子どもの世話―自身
ZQ14_33B	277	問14(3-3)-2_日常的な子どもの世話―配偶者
ZQ14_33C	278	問14(3-3)-3_日常的な子どもの世話―父母
ZQ14_33D	279	問14(3-3)-4_日常的な子どもの世話―配偶者の父母
ZQ14_33E	280	問14(3-3)-5_日常的な子どもの世話―きょうだい
ZQ14_33F	281	問14(3-3)-6_日常的な子どもの世話―配偶者のきょうだい
ZQ14_33G	282	問14(3-3)-7_日常的な子どもの世話―その他の親戚
ZQ14_33H	283	問14(3-3)-8_日常的な子どもの世話―友人
ZQ14_33I	284	問14(3-3)-9_日常的な子どもの世話―近所の人
ZQ14_33J	285	問14(3-3)-10_日常的な子どもの世話―ベビーシッター・お手伝いさん
ZQ14_33K	286	問14(3-3)-11_日常的な子どもの世話―保育園
ZQ14_33L	287	問14(3-3)-12_日常的な子どもの世話―幼稚園
ZQ14_33M	288	問14(3-3)-13_日常的な子どもの世話―託児所
ZQ14_33N	289	問14(3-3)-14_日常的な子どもの世話―学童保育
ZQ14_33O	290	問14(3-3)-15_日常的な子どもの世話―その他
ZQ14_33P	291	問14(3-3)-16_日常的な子どもの世話―いずれもない
ZQ16	292	問16_15歳時の暮らしむき
ZQ17	293	問17_中学3年時の学年成績
ZQ18_A	294	問18-1_15歳時に自宅にあったもの―持ち家
ZQ18_B	295	問18-2_15歳時に自宅にあったもの―田園・山林（家庭菜園は除く）
ZQ18_C	296	問18-3_15歳時に自宅にあったもの―風呂
ZQ18_D	297	問18-4_15歳時に自宅にあったもの―自分専用の部屋
ZQ18_E	298	問18-5_15歳時に自宅にあったもの―学習机
ZQ18_F	299	問18-6_15歳時に自宅にあったもの―応接セット
ZQ18_G	300	問18-7_15歳時に自宅にあったもの―ピアノ
ZQ18_H	301	問18-8_15歳時に自宅にあったもの―テレビ
ZQ18_I	302	問18-9_15歳時に自宅にあったもの―ラジオ
ZQ18_J	303	問18-10_15歳時に自宅にあったもの―ビデオデッキ
ZQ18_K	304	問18-11_15歳時に自宅にあったもの―冷蔵庫
ZQ18_L	305	問18-12_15歳時に自宅にあったもの―電子レンジ
ZQ18_M	306	問18-13_15歳時に自宅にあったもの―電話（携帯電話・PHS）含む
ZQ18_N	307	問18-14_15歳時に自宅にあったもの―百科事典
ZQ18_O	308	問18-15_15歳時に自宅にあったもの―文学全集・図鑑
ZQ18_P	309	問18-16_15歳時に自宅にあったもの―パソコン・ワープロ
ZQ18_Q	310	問18-17_15歳時に自宅にあったもの―クーラー・エアコン
ZQ18_R	311	問18-18_15歳時に自宅にあったもの―自家用車
ZQ18_S	312	問18-19_15歳時に自宅にあったもの―美術品・骨董品
ZQ18_T	313	問18-20_15歳時に自宅にあったもの―別荘
ZQ19	314	問19_15歳時に自宅にあった本の冊数
ZQ20	315	問20_15歳時の父親の家事・育児への態度
ZQ21	316	問21_15歳時の家庭の雰囲気
ZQ22A1	317	問22A(1)_15歳時父職・働き方
ZQ22A2	318	問22A(2)_15歳時父職・職業―大分類(プリコード)
ZQ22A2C	319	問22A(2)_15歳時父職・職業―小分類(新規コードあり)
ZQ22A2L	320	問22A(2)_15歳時父職・職業―大分類（アフターコード）
ZQ22A3	321	問22A(3)_15歳時父職・役職
ZQ22A4	322	問22A(4)_15歳時父職・企業規模
ZQ22B1	323	問22B(1)_15歳時母職・働き方
ZQ22B2	324	問22B(2)_15歳時母職・職業―大分類(プリコード)
ZQ22B2C	325	問22B(2)_15歳時母職・職業―小分類(新規コードあり)
ZQ22B2L	326	問22B(2)_15歳時母職・職業―大分類（アフターコード）
ZQ22B3	327	問22B(3)_15歳時母職・役職
ZQ22B4	328	問22B(4)_15歳時母職・企業規模
ZQ23A	329	問23_最後に通った学校―本人
ZQ23B	330	問23_最後に通った学校―配偶者
ZQ23C	331	問23_最後に通った学校―父親
ZQ23D	332	問23_最後に通った学校―母親
ZQ24	333	問24_最後に通った学校を卒業したか
ZQ24A	334	問24_卒業・中退―元号
ZQ24Y	335	問24_卒業・中退―年
ZQ24M	336	問24_卒業・中退―月
ZQ25	337	問25_自分の健康状態
ZQ26A	338	問26A_過去1ヶ月間―かなり神経質であったこと
ZQ26B	339	問26B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと
ZQ26C	340	問26C_過去1ヶ月間―落ち着いていておだやかな気分であったこと
ZQ26D	341	問26D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと
ZQ26E	342	問26E_過去1ヶ月間―楽しい気分であったこと
ZQ26F	343	問26F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと
ZQ27	344	問27_1日に吸うタバコの本数
ZQ28	345	問28_飲酒の頻度
ZQ29A	346	問29A_健康状態―階段をつかって、ひとつ上の階へのぼる
ZQ29B	347	問29B_健康状態―適度の活動（テーブルを動かす、掃除機をかける）
ZQ29C	348	問29C_健康状態―激しい運動（一生けんめい走る、重いものを持ち上げる、激しいスポーツをする）
ZQ30A	349	問30A_現在の満足度―仕事
ZQ30B	350	問30B_現在の満足度―結婚生活
ZQ30C	351	問30C_現在の満足度―友人関係
ZQ30D	352	問30D_現在の満足度―生活全般
ZQ31A	353	問31A_日常生じる困難や問題の解決策を見つけることができる
ZQ31B	354	問31B_人生で生じる困難や問題のいくつかは向き合い、取り組む価値があると思う
ZQ31C	355	問31C_日常生じる困難や問題を理解したり予測したりできる
ZQ32A	356	問32A_自分の考えを人に説明することができるか
ZQ32B	357	問32B_よく知らない人と自然に会話することができるか
ZQ32C	358	問32C_まわりの人をまとめてひっぱっていくことができるか
ZQ32D	359	問32D_面白いことを言って人を楽しませることができるか
ZQ33A	360	問33A_自分のやりたい仕事ははっきりしている
ZQ33B	361	問33B_自分の職業能力を向上させたいと思う
ZQ33C	362	問33C_将来よりも今の生活を楽しみたいと思う
ZQ33D	363	問33D_社会でうまくやっていけるか不安だ
ZQ33E	364	問33E_友だちから悩み事を打ち明けられることが多い
ZQ33F	365	問33F_やりたくない仕事にはつきたくない
ZQ34A	366	問34A_自分にとっての重要度―仕事で成功すること
ZQ34B	367	問34B_自分にとっての重要度―結婚して幸せな家庭生活を送ること
ZQ34C	368	問34C_自分にとっての重要度―お金持ちになること
ZQ34D	369	問34D_自分にとっての重要度―親友を持つこと
ZQ34E	370	問34E_自分にとっての重要度―子どもには自分よりも恵まれた機会を与えること
ZQ34F	371	問34F_自分にとっての重要度―安定した仕事につくこと
ZQ35	372	問35_自分自身の階層の位置づけ
ZQ36	373	問36_将来の自分の仕事や生活に希望があるか
ZQ37	374	問37_自分にとって理想的な子どもの数
ZQ37S	375	問37_5人以上の場合の具体的な人数
ZQ38A	376	問38A_日本の所得の格差は大きすぎる
ZQ38B	377	問38B_どんな学校を出たかによって、人生がほとんど決まってしまう
ZQ38C	378	問38C_仕事や事業でいったん失敗すると、人生のやり直しがしにくい
ZQ38D	379	問38D_所得格差が大きいことは、日本の繁栄に必要である
ZQ38E	380	問38E_地位や富を得るためには、裕福な家庭の出身であることが重要だ
ZQ39A	381	問39A_男性の仕事は収入を得ること、女性の仕事や家庭と家族の面倒をみることだ
ZQ39B	382	問39B_母親が外で働くと、小学校に通う前の子どもはつらい思いをしやすい
ZQ39C	383	問39C_女性が自立するためには、仕事を持つのが一番よい
ZQ39D	384	問39D_一般的に言って、結婚している人のほうが、結婚していない人より幸せだ
